,ticker,date,time,title,compound
223,FB,2021-02-19,09:00AM  ,This Day In Market History: Facebook's WhatsApp Purchase Is The Largest Buyout Of A VC-Backed Company,0.0
224,FB,2021-02-19,08:45AM  ,"Facebook, Alphabet, Twitter CEOs To Testify Before Congress In March Over Misinformation: CNBC",-0.3182
225,FB,2021-02-19,08:00AM  ,Terrible mistake if Facebook allows Trump back on platform,-0.6705
226,FB,2021-02-19,07:41AM  ,Europe Publishers Turn Up Heat on Facebook After Australia Spat,0.0
227,FB,2021-02-19,06:54AM  ,Facebook's Australia news blackout: a shock four years in the making,-0.3818
228,FB,2021-02-19,06:04AM  ,Exclusive: Facebook and Google could lose bargaining power under upcoming U.S. bill to help news outlets,0.128
229,FB,2021-02-19,03:33AM  ,Facebooks Australia Face-Off Could Backfire Across the Globe,0.0
230,FB,2021-02-19,12:56AM  ,TIMELINE-Events leading to Facebooks dramatic unfriending of Australian news outlets,0.0
231,FB,2021-02-18,09:59PM  ,Australias prime minister urges Facebook to lift news blockade,0.0
232,FB,2021-02-18,09:40PM  ,"Facebook, Google, Twitter CEOs will testify about misinformation before U.S. Congress",-0.3182
233,FB,2021-02-18,07:54PM  ,"UPDATE 2-Undeterred by Facebook news blackout, Australia commits to content law",0.0258
234,FB,2021-02-18,07:46PM  ,Australian news sites' traffic falls after Facebook blocks content -Chartbeat,-0.2263
235,FB,2021-02-18,07:00PM  ,Still business as usual when it comes to the techlash,0.0
236,FB,2021-02-18,07:00PM  ,Facebook behaving like North Korea as Australia wakes up to news ban,-0.2732
237,FB,2021-02-18,07:00PM  ,Australias Big Tech fight does not provide a model,-0.3818
238,FB,2021-02-18,06:50PM  ,Canada vows to be next country to go after Facebook to pay for news,-0.1027
239,FB,2021-02-18,06:42PM  ,Canada vows to be next country to go after Facebook to pay for news,-0.1027
240,FB,2021-02-18,05:39PM  ,Congress gets ready to grill Big Tech with a series of hearings starting next week,0.3612
241,FB,2021-02-18,05:30PM  ,"Undeterred by Facebook news blackout, Australia commits to content law",0.0258
242,FB,2021-02-18,05:30PM  ,"Zuckerberg, Pichai, Dorsey Due Back for New Grilling in Congress",0.0
243,FB,2021-02-18,05:24PM  ,Australia to Hold Talks With Facebooks Zuckerberg After Block,-0.4404
244,FB,2021-02-18,05:16PM  ,"UPDATE 1-Internet groups, U.S. Chamber sue Maryland over digital advertising tax",0.0
245,FB,2021-02-18,04:34PM  ,"Zuckerberg, Pichai, Dorsey to testify at House online disinformation hearing",0.0
